Observation id,ground,Subject,Behavior,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Start (s),Stop (s),Image index start,Image index stop,Comment start,Comment stop
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,113.896,113.896,241,241,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,166.095,166.095,1808,1808,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,left lever,both paws,no reaction,,,204.295,204.295,2953,2953,,
Crow_2024_07_10_L2_Box1,dirt,boomerang,solve,right lever,right paw,exit,,,315.3,315.3,2627,2627,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,400.784,400.784,1188,1188,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,left lever,unknown,no reaction,,,432.951,432.951,2153,2153,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,left lever,both paws,no reaction,,,440.384,440.384,2376,2376,,
Crow_2024_07_10_L2_Box1,dirt,boomerang,solve,left lever,left paw,exit,,,529.256,529.256,1343,1343,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,684.74,684.74,725,725,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,right paw,no reaction,,,751.006,751.006,2713,2713,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,right paw,no reaction,,,791.839,791.839,3937,3937,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,unknown,no reaction,,,824.438,824.438,0,0,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,865.911,865.911,1244,1244,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,right lever,both paws,no reaction,,,873.411,873.411,1469,1469,,
Crow_2024_07_10_L2_Box1,dirt,key_hole,solve,left lever,both paws,no reaction,,,909.177,909.177,2542,2542,,
Crow_2024_07_10_L2_Box2,dirt,boomerang,solve,right lever,right paw,exit,,,71.757,71.757,445,445,,
Crow_2024_07_10_L2_Box2,dirt,key_hole,solve,left lever,left paw,no reaction,,,227.691,227.691,233,233,,
